"zip","city","county","pop"
"80643","Keenesburg","Weld","3947"
"80913","Colorado Springs","El Paso","3728"
"81641","Meeker","Rio Blanco","3668"
"81419","Hotchkiss","Delta","3666"
"80758","Wray","Yuma","3657"
"80828","Limon","Lincoln","3605"
"80814","Divide","Teller","3570"
"80466","Nederland","Boulder","3557"
"81240","Penrose","Fremont","3547"
"80470","Pine","Jefferson","3531"
"81125","Center","Saguache","3469"
"80610","Ault","Weld","3410"
"81132","Del Norte","Rio Grande","3253"
"81428","Paonia","Delta","3214"
"81224","Crested Butte","Gunnison","3207"
"80452","Idaho Springs","Clear Creek","3158"
"81063","Ordway","Crowley","3151"
"80644","Kersey","Weld","3121"
"80734","Holyoke","Phillips","3044"
"81432","Ridgway","Ouray","2977"
"80103","Byers","Arapahoe","2949"
"80459","Kremmling","Grand","2801"
"80117","Kiowa","Elbert","2794"
"81615","Snowmass Village","Pitkin","2783"
"80019","Aurora","Adams","2771"
"80720","Akron","Washington","2725"
"81639","Hayden","Routt","2695"
"81648","Rangely","Rio Blanco","2688"
"80654","Wiggins","Morgan","2668"
"80535","Laporte","Larimer","2596"
"80547","Timnath","Larimer","2574"
"80133","Palmer Lake","El Paso","2539"
"80440","Fairplay","Park","2537"
"80447","Grand Lake","Grand","2328"
"81326","Hesperus","La Plata","2306"
"81120","Antonito","Conejos","2271"
"80442","Fraser","Grand","2229"
"81140","La Jara","Conejos","2223"
"80467","Oak Creek","Routt","2186"
"81069","Rye","Pueblo","2139"
"80930","Colorado Springs","El Paso","1928"
"80137","Watkins","Adams","1914"
"81151","Sanford","Conejos","1902"
"80536","Livermore","Larimer","1894"
"81073","Springfield","Baca","1818"
"81418","Eckert","Delta","1793"
"81527","Whitewater","Mesa","1785"
"81423","Norwood","San Miguel","1764"
"81524","Loma","Mesa","1714"
"80737","Julesburg","Sedgwick","1679"
"81019","Colorado City","Pueblo","1674"
"81039","Fowler","Otero","1642"
"80520","Firestone","Weld","1636"
"80926","Colorado Springs","El Paso","1628"
"81022","Avondale","Pueblo","1624"
"81062","Olney Springs","Crowley","1618"
"81055","La Veta","Huerfano","1602"
"80512","Bellvue","Larimer","1583"
"81334","Towaoc","Montezuma","1525"
